Name;SimplePoseEst;
File;E:\TestfahrtDraftSimpleEstimator\testlang2.csv;
Starttime of export;133209580157270000;Mittwoch, 15. Februar 2023;19:06:55.727
Endtime of export;133209580821570000;Mittwoch, 15. Februar 2023;19:08:02.157


Name;TcModuleOutput_Estimator_vWorld[0] (1);Name;TcModuleOutput_Estimator_vWorld[1] (1);Name;TcModuleOutput_Estimator_vWorld[2] (1);Name;TcModuleOutput_Estimator_vMotors[0] (1);Name;TcModuleOutput_Estimator_vMotors[1] (1);Name;TcModuleOutput_Estimator_vMotors[2] (1);Name;TcModuleOutput_Estimator_vWorld[0];Name;TcModuleOutput_Estimator_vWorld[1];Name;TcModuleOutput_Estimator_vWorld[2];Name;TcModuleOutput_Estimator_vMotors[0];Name;TcModuleOutput_Estimator_vMotors[1];Name;TcModuleOutput_Estimator_vMotors[2];Name;TcModuleInput_InVYfromMotors;Name;TcModuleInput_InVXfromMotors;Name;TcModuleInput_InVThetafromMotors;Name;TcModuleInput_InCameraPose[2];Name;TcModuleInput_InCameraPose[1];Name;TcModuleInput_InCameraPose[0];Name;TcModuleOutput_OutEstY;Name;TcModuleOutput_OutEstX;Name;TcModuleOutput_OutEstTheta;Name;TcModuleOutput_OutDebugCase;Name;TcModuleOutput_Estimator_vWorld[0] (2);Name;TcModuleOutput_Estimator_vWorld[1] (2);Name;TcModuleOutput_Estimator_vWorld[2] (2);Name;TcModuleOutput_Estimator_vMotors[0] (2);Name;TcModuleOutput_Estimator_vMotors[1] (2);Name;TcModuleOutput_Estimator_vMotors[2] (2)
40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;2;40;0;40;0;40;0;40;0;40;0;40;0
50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;2;50;0;50;0;50;0;50;0;50;0;50;0
60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;2;60;0;60;0;60;0;60;0;60;0;60;0
70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;2;70;0;70;0;70;0;70;0;70;0;70;0
80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;2;80;0;80;0;80;0;80;0;80;0;80;0
90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;2;90;0;90;0;90;0;90;0;90;0;90;0
100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;2;100;0;100;0;100;0;100;0;100;0;100;0
110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;2;110;0;110;0;110;0;110;0;110;0;110;0
120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;2;120;0;120;0;120;0;120;0;120;0;120;0
130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;2;130;0;130;0;130;0;130;0;130;0;130;0
140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;2;140;0;140;0;140;0;140;0;140;0;140;0
150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;2;150;0;150;0;150;0;150;0;150;0;150;0
160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;2;160;0;160;0;160;0;160;0;160;0;160;0
170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;2;170;0;170;0;170;0;170;0;170;0;170;0
180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;2;180;0;180;0;180;0;180;0;180;0;180;0
190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;2;190;0;190;0;190;0;190;0;190;0;190;0
200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;2;200;0;200;0;200;0;200;0;200;0;200;0
210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;2;210;0;210;0;210;0;210;0;210;0;210;0
220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;2;220;0;220;0;220;0;220;0;220;0;220;0
230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;2;230;0;230;0;230;0;230;0;230;0;230;0
240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;2;240;0;240;0;240;0;240;0;240;0;240;0
250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;2;250;0;250;0;250;0;250;0;250;0;250;0
260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;2;260;0;260;0;260;0;260;0;260;0;260;0
270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;2;270;0;270;0;270;0;270;0;270;0;270;0
280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;2;280;0;280;0;280;0;280;0;280;0;280;0
290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;2;290;0;290;0;290;0;290;0;290;0;290;0
300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;2;300;0;300;0;300;0;300;0;300;0;300;0
310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;2;310;0;310;0;310;0;310;0;310;0;310;0
320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;2;320;0;320;0;320;0;320;0;320;0;320;0
330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;2;330;0;330;0;330;0;330;0;330;0;330;0
340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;2;340;0;340;0;340;0;340;0;340;0;340;0
350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;2;350;0;350;0;350;0;350;0;350;0;350;0
360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;2;360;0;360;0;360;0;360;0;360;0;360;0
370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;2;370;0;370;0;370;0;370;0;370;0;370;0
380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;2;380;0;380;0;380;0;380;0;380;0;380;0
390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;2;390;0;390;0;390;0;390;0;390;0;390;0
400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;2;400;0;400;0;400;0;400;0;400;0;400;0
410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;2;410;0;410;0;410;0;410;0;410;0;410;0
420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;2;420;0;420;0;420;0;420;0;420;0;420;0
430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;2;430;0;430;0;430;0;430;0;430;0;430;0
440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;2;440;0;440;0;440;0;440;0;440;0;440;0
450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;2;450;0;450;0;450;0;450;0;450;0;450;0
460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;2;460;0;460;0;460;0;460;0;460;0;460;0
470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;2;470;0;470;0;470;0;470;0;470;0;470;0
480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;2;480;0;480;0;480;0;480;0;480;0;480;0
490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;2;490;0;490;0;490;0;490;0;490;0;490;0
500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;2;500;0;500;0;500;0;500;0;500;0;500;0
510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;2;510;0;510;0;510;0;510;0;510;0;510;0
520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;2;520;0;520;0;520;0;520;0;520;0;520;0
530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;2;530;0;530;0;530;0;530;0;530;0;530;0
540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;2;540;0;540;0;540;0;540;0;540;0;540;0
550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;2;550;0;550;0;550;0;550;0;550;0;550;0
560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;2;560;0;560;0;560;0;560;0;560;0;560;0
570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;2;570;0;570;0;570;0;570;0;570;0;570;0
580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;2;580;0;580;0;580;0;580;0;580;0;580;0
590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;2;590;0;590;0;590;0;590;0;590;0;590;0
600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;2;600;0;600;0;600;0;600;0;600;0;600;0
610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;2;610;0;610;0;610;0;610;0;610;0;610;0
620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;2;620;0;620;0;620;0;620;0;620;0;620;0
630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;2;630;0;630;0;630;0;630;0;630;0;630;0
640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;2;640;0;640;0;640;0;640;0;640;0;640;0
650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;2;650;0;650;0;650;0;650;0;650;0;650;0
660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;2;660;0;660;0;660;0;660;0;660;0;660;0
670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;2;670;0;670;0;670;0;670;0;670;0;670;0
680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;2;680;0;680;0;680;0;680;0;680;0;680;0
690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;2;690;0;690;0;690;0;690;0;690;0;690;0
700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;2;700;0;700;0;700;0;700;0;700;0;700;0
710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;2;710;0;710;0;710;0;710;0;710;0;710;0
720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;2;720;0;720;0;720;0;720;0;720;0;720;0
730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;2;730;0;730;0;730;0;730;0;730;0;730;0
740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;2;740;0;740;0;740;0;740;0;740;0;740;0
750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;2;750;0;750;0;750;0;750;0;750;0;750;0
760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;2;760;0;760;0;760;0;760;0;760;0;760;0
770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;2;770;0;770;0;770;0;770;0;770;0;770;0
780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;2;780;0;780;0;780;0;780;0;780;0;780;0
790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;2;790;0;790;0;790;0;790;0;790;0;790;0
800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;2;800;0;800;0;800;0;800;0;800;0;800;0
810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;2;810;0;810;0;810;0;810;0;810;0;810;0
820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;2;820;0;820;0;820;0;820;0;820;0;820;0
830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;2;830;0;830;0;830;0;830;0;830;0;830;0
840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;2;840;0;840;0;840;0;840;0;840;0;840;0
850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;2;850;0;850;0;850;0;850;0;850;0;850;0
